player,role,hero,hero role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg
Hooreg,dps,Mccree,offense,67,1179,951,0.7,0,0.3,0.565,0.087,0.348,0.207,-0.23,8.65,-0.08,5.6,-0.17,3.05,-0.2,80,0.06,0,0,26.8,1.65,23,0.087,-0.46,0.174,0.45,0,0,0,0,72,-0.11,34,0.17,0,0
Hooreg,dps,Widowmaker,defense,42,941,969,0.7,0,0.3,0.435,0.087,0.478,0.259,0.01,9.56,0.07,6.38,0.07,3.83,-0.1,93,0.14,0,0,36.5,4.14,23,0.13,-0.32,0.13,0.13,0,0,0,0,69,-0.16,0,-1,0,0
HagoPeun,Support,Zenyatta,support,112,9621,993,0.57,0,0.43,0.48,0.056,0.465,0.095,-0.09,3.24,-0.13,6.55,0.05,4.74,0.38,86,-0.16,0,0,10.8,0.71,198,0.051,-0.07,0.152,0.43,0,0,0,0,94,-0.11,25,-0.17,0.123,0.52
HagoPeun,dps,Sombra,offense,60,1104,1230,1,0,0,0.652,0.087,0.261,0.117,-0.17,4.89,0.02,3.26,-0.42,7.07,0.33,49,-0.27,0,0,7.5,0.23,23,0,0,0.13,0.4,0,0,0,0,58,-0.14,24,0.01,0,0
Neko,dps,Bastion,defense,4,975,799,0.3,0,0.7,0.579,0,0.421,0.169,-0.26,6.77,-0.24,7.38,0,2.46,-0.17,89,-0.05,0,0,-32.9,-3.91,19,0.105,-0.12,0.105,-0.19,0,0,0,0,89,-0.06,70,1.26,0,0
Neko,Support,Zenyatta,support,112,28959,1104,0.52,0,0.48,0.504,0.048,0.449,0.132,0.25,5.12,0.38,7.13,0.15,3.77,0.1,99,-0.03,0,0,2.8,-0.56,566,0.076,0.38,0.129,0.22,0,0,0,0,104,-0.01,33,0.1,0.101,0.25
Neko,Support,Lucio,support,134,2969,784,0.5,0,0.5,0.444,0.056,0.5,0.066,-0.06,2.43,0.01,7.68,0.41,3.23,0.11,103,-0.13,0,0,-6,-1.86,54,0.019,-0.27,0.074,0.12,0,0,0,0,102,-0.15,22,-0.25,0.067,0.12
Neko,Support,Ana,support,112,2216,1299,0.28,0,0.72,0.37,0.043,0.587,0.054,-0.04,1.62,-0.1,5.14,-0.07,6.23,0.51,67,-0.23,0,0,3,-0.59,46,0.022,-0.08,0.109,0.28,0,0,0,0,58,-0.31,14,-0.54,0,0
Neko,Support,Moira,support,12,2988,1189,0.2,0,0.8,0.453,0.047,0.5,0.084,-0.03,3.01,0.03,5.62,-0.01,6.22,0.16,60,-0.08,0,0,8.9,-0.02,64,0.063,1.33,0.078,-0.18,0,0,0,0,53,-0.11,17,-0.01,0.161,0.2
Neko,off tank,Roadhog,tank,90,951,1087,0.8,0,0.2,0.615,0,0.385,0.237,-0.01,8.83,0.12,6.31,0.09,4.42,0.49,60,-0.45,0,0,-21.5,-5.89,26,0.192,0.3,0.077,-0.12,0,0,0,0,79,-0.31,31,0.05,0.286,2.33
